Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
852,52,2/20/2014,29-052,MIA,@,OKC,W (+22),1,33:24:00,15,22,0.682,1,5,0.2,2,5,0.4,1,6,7,3,4,0,8,1,33,22.6,9
853,,2/23/2014,29-055,MIA,,CHI,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
854,53,2/27/2014,29-059,MIA,,NYK,W (+26),1,36:38:00,13,19,0.684,1,2,0.5,4,6,0.667,0,4,4,4,0,0,1,0,31,25.1,21
855,54,3/1/2014,29-061,MIA,,ORL,W (+14),1,31:13:00,8,12,0.667,0,2,0,4,5,0.8,1,8,9,7,4,0,2,1,20,24,14
856,55,3/3/2014,29-063,MIA,,CHA,W (+17),1,41:12:00,22,33,0.667,8,10,0.8,9,12,0.75,3,4,7,4,0,0,2,2,61,48.8,16
857,56,3/4/2014,29-064,MIA,@,HOU,L (-3),1,36:38:00,9,18,0.5,0,3,0,4,6,0.667,1,0,1,6,3,0,1,1,22,18.7,-15
858,57,3/6/2014,29-066,MIA,@,SAS,L (-24),1,38:04:00,6,18,0.333,0,3,0,7,9,0.778,3,5,8,7,2,0,5,5,19,11.5,-10
859,58,3/9/2014,29-069,MIA,@,CHI,L (-7),1,45:19:00,8,23,0.348,1,3,0.333,0,0,,1,8,9,8,3,1,4,1,17,12.1,6
860,59,3/10/2014,29-070,MIA,,WAS,W (+9),1,36:45:00,10,15,0.667,3,4,0.75,0,0,,2,5,7,8,3,0,3,3,23,23.8,14
861,60,3/12/2014,29-072,MIA,,BRK,L (-1),1,38:03:00,6,13,0.462,1,4,0.25,6,9,0.667,0,5,5,7,3,0,5,1,19,15.1,2
862,61,3/14/2014,29-074,MIA,,DEN,L (-4),1,39:50:00,8,17,0.471,0,4,0,5,7,0.714,0,6,6,6,1,0,4,3,21,13.3,-8
863,62,3/16/2014,29-076,MIA,,HOU,W (+9),1,42:52:00,8,17,0.471,1,3,0.333,7,8,0.875,0,5,5,6,2,0,5,3,24,16.4,11
864,63,3/18/2014,29-078,MIA,@,CLE,W (+4),1,41:40:00,14,19,0.737,6,8,0.75,9,13,0.692,0,6,6,4,2,3,0,1,43,42,11
865,,3/19/2014,29-079,MIA,@,BOS,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
866,64,3/21/2014,29-081,MIA,,MEM,W (+5),1,38:01:00,7,14,0.5,0,2,0,1,2,0.5,1,5,6,7,2,1,3,0,15,14.4,4
867,65,3/22/2014,29-082,MIA,@,NOP,L (-10),1,41:59:00,10,18,0.556,2,4,0.5,3,3,1,1,7,8,9,0,1,3,1,25,22.8,-6
868,66,3/24/2014,29-084,MIA,,POR,W (+2),1,38:22:00,13,23,0.565,0,1,0,6,9,0.667,4,2,6,5,4,0,5,2,32,25,4
869,67,3/26/2014,29-086,MIA,@,IND,L (-1),1,43:24:00,11,19,0.579,2,6,0.333,14,15,0.933,0,8,8,5,0,0,6,3,38,27.4,2
