Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1101,70,3/25/2011,26-085,MIA,,PHI,W (+12),1,41:01:00,11,17,0.647,1,4,0.25,9,9,1,2,8,10,2,3,1,4,3,32,28.2,17
1102,71,3/27/2011,26-087,MIA,,HOU,W (+6),1,40:27:00,13,21,0.619,0,1,0,7,9,0.778,1,9,10,7,0,0,2,1,33,28.6,5
1103,72,3/29/2011,26-089,MIA,@,CLE,L (-12),1,43:17:00,10,21,0.476,1,5,0.2,6,10,0.6,0,10,10,12,0,0,3,3,27,21.9,-9
1104,73,3/30/2011,26-090,MIA,@,WAS,W (+16),1,43:49:00,12,16,0.75,1,3,0.333,10,13,0.769,1,7,8,8,5,0,5,3,35,34.6,20
1105,74,4/1/2011,26-092,MIA,@,MIN,W (+19),1,42:53:00,11,20,0.55,0,1,0,5,7,0.714,2,4,6,10,3,1,3,2,27,26.1,15
1106,75,4/3/2011,26-094,MIA,@,NJN,W (+14),1,38:55:00,13,18,0.722,0,2,0,5,8,0.625,2,9,11,7,3,0,7,2,31,26.6,13
1107,76,4/6/2011,26-097,MIA,,MIL,L (-5),1,39:25:00,10,22,0.455,3,7,0.429,6,8,0.75,1,1,2,8,2,2,4,2,29,22,-10
1108,77,4/8/2011,26-099,MIA,,CHA,W (+9),1,37:23:00,9,16,0.563,0,1,0,5,6,0.833,1,6,7,9,2,1,1,2,23,24.7,12
1109,78,4/10/2011,26-101,MIA,,BOS,W (+23),1,37:11:00,11,19,0.579,0,2,0,5,9,0.556,0,5,5,7,4,1,4,1,27,23.2,24
1110,79,4/11/2011,26-102,MIA,@,ATL,W (+8),1,42:39:00,10,21,0.476,2,4,0.5,12,14,0.857,1,9,10,7,3,0,7,1,34,26.4,7
1111,,4/13/2011,26-104,MIA,@,TOR,W (+18),Did Not Play,,,,,,,,,,,,,,,,,,,,,
1112,1,10/27/2009,24-301,CLE,,BOS,L (-6),1,44:55:00,12,22,0.545,4,9,0.444,10,13,0.769,0,4,4,8,2,4,5,4,38,31.2,0
1113,2,10/28/2009,24-302,CLE,@,TOR,L (-10),1,39:47:00,7,19,0.368,1,5,0.2,8,14,0.571,2,9,11,12,2,0,4,1,23,20.2,2
1114,3,10/30/2009,24-304,CLE,@,MIN,W (+17),1,33:26:00,10,18,0.556,2,3,0.667,2,3,0.667,2,7,9,6,1,1,2,1,24,22,17
1115,4,10/31/2009,24-305,CLE,,CHA,W (+11),1,37:14:00,5,11,0.455,0,1,0,4,6,0.667,1,6,7,9,0,0,4,1,14,11.9,19
1116,5,11/3/2009,24-308,CLE,,WAS,W (+12),1,35:59:00,7,16,0.438,2,7,0.286,11,13,0.846,3,5,8,6,3,0,4,0,27,24.6,5
1117,6,11/5/2009,24-310,CLE,,CHI,L (-1),1,38:13:00,9,17,0.529,1,4,0.25,6,9,0.667,0,7,7,6,1,1,3,0,25,20.5,-1
1118,7,11/6/2009,24-311,CLE,@,NYK,W (+9),1,35:37:00,12,17,0.706,2,4,0.5,7,9,0.778,0,8,8,9,3,0,7,3,33,28.6,8
1119,8,11/11/2009,24-316,CLE,@,ORL,W (+9),1,39:07:00,13,23,0.565,2,3,0.667,8,9,0.889,2,6,8,4,1,0,4,2,36,26.9,7
1120,9,11/12/2009,24-317,CLE,@,MIA,W (+7),1,38:53:00,8,20,0.4,2,4,0.5,16,18,0.889,1,3,4,7,2,1,2,2,34,28.8,6
1121,10,11/14/2009,24-319,CLE,,UTA,W (+4),1,37:33:00,6,15,0.4,0,3,0,9,12,0.75,0,6,6,9,2,1,2,1,21,20.1,6
1122,11,11/17/2009,24-322,CLE,,GSW,W (+6),1,38:32:00,11,19,0.579,1,5,0.2,8,10,0.8,0,5,5,12,1,2,2,2,31,30.8,8
1123,12,11/18/2009,24-323,CLE,@,WAS,L (-17),1,35:08:00,12,20,0.6,3,7,0.429,7,8,0.875,0,2,2,9,2,0,6,4,34,25.7,-12
1124,13,11/20/2009,24-325,CLE,@,IND,W (+10),1,37:53:00,13,25,0.52,1,3,0.333,13,14,0.929,2,7,9,7,1,1,2,1,40,35,4
1125,14,11/21/2009,24-326,CLE,,PHI,W (+6),1,38:32:00,13,20,0.65,2,4,0.5,4,6,0.667,0,7,7,9,0,0,5,3,32,24.6,11
1126,15,11/25/2009,24-330,CLE,@,DET,W (+10),1,38:49:00,12,24,0.5,1,4,0.25,9,11,0.818,1,7,8,7,1,0,5,2,34,24.1,12
1127,16,11/27/2009,24-332,CLE,@,CHA,L (-7),1,38:01:00,10,19,0.526,2,7,0.286,3,4,0.75,0,6,6,4,0,0,6,4,25,12.3,3
1128,17,11/28/2009,24-333,CLE,,DAL,W (+16),1,36:21:00,10,20,0.5,0,2,0,5,7,0.714,0,5,5,12,0,0,1,2,25,22.3,8
1129,18,12/2/2009,24-337,CLE,,PHO,W (+17),1,34:37:00,6,15,0.4,0,3,0,0,0,,1,7,8,10,1,1,3,0,12,12.4,19
1130,19,12/4/2009,24-339,CLE,,CHI,W (+14),1,34:12:00,8,17,0.471,1,3,0.333,6,10,0.6,0,6,6,11,0,0,1,1,23,20.8,19
1131,20,12/6/2009,24-341,CLE,@,MIL,W (+15),1,32:18:00,4,10,0.4,0,0,,6,7,0.857,1,4,5,10,1,1,5,2,14,13,8
1132,21,12/8/2009,24-343,CLE,@,MEM,L (-2),1,44:47:00,14,29,0.483,4,11,0.364,11,12,0.917,4,9,13,6,0,1,5,2,43,32.5,6
1133,22,12/9/2009,24-344,CLE,@,HOU,L (-10),1,39:40:00,8,21,0.381,2,4,0.5,9,10,0.9,1,5,6,7,1,1,5,2,27,18.1,-13
1134,23,12/11/2009,24-346,CLE,,POR,W (+5),1,37:36:00,14,24,0.583,1,2,0.5,4,6,0.667,1,6,7,7,1,2,4,1,33,26.4,8
1135,24,12/13/2009,24-348,CLE,@,OKC,W (+13),1,38:35:00,16,29,0.552,5,8,0.625,7,10,0.7,0,7,7,6,4,1,1,1,44,38.5,13
1136,25,12/15/2009,24-350,CLE,,NJN,W (+10),1,40:28:00,9,19,0.474,1,5,0.2,4,6,0.667,1,5,6,7,2,0,6,3,23,14.4,7
1137,26,12/16/2009,24-351,CLE,@,PHI,W (+7),1,40:17:00,12,26,0.462,3,6,0.5,9,11,0.818,1,5,6,7,3,1,3,2,36,28.8,10
1138,27,12/18/2009,24-353,CLE,,MIL,W (+3),1,38:22:00,6,13,0.462,2,4,0.5,12,14,0.857,1,9,10,8,0,3,6,1,26,23.2,3
1139,28,12/20/2009,24-355,CLE,@,DAL,L (-7),1,43:05:00,9,23,0.391,2,6,0.333,5,7,0.714,0,3,3,6,2,2,2,3,25,17,-5
1140,29,12/21/2009,24-356,CLE,@,PHO,W (+18),1,38:26:00,11,21,0.524,1,3,0.333,6,6,1,1,5,6,4,2,0,3,3,29,21.5,26
1141,30,12/23/2009,24-358,CLE,@,SAC,W (+13),1,43:41:00,14,30,0.467,1,4,0.25,5,7,0.714,4,12,16,10,0,0,2,1,34,28.8,26
1142,31,12/25/2009,24-360,CLE,@,LAL,W (+15),1,40:44:00,9,19,0.474,2,7,0.286,6,11,0.545,0,4,4,9,2,1,7,3,26,16.3,8
1143,32,12/27/2009,24-362,CLE,,HOU,W (+25),1,29:26:00,12,20,0.6,2,5,0.4,3,4,0.75,2,3,5,6,3,1,1,0,29,28.6,16
1144,33,12/29/2009,24-364,CLE,@,ATL,W (+11),1,39:36:00,6,20,0.3,0,5,0,2,3,0.667,1,7,8,10,5,1,4,2,14,12.7,6
1145,34,12/30/2009,25-000,CLE,,ATL,W (+5),1,43:12:00,15,23,0.652,4,6,0.667,14,16,0.875,3,7,10,6,2,2,3,3,48,44.7,7
1146,35,1/2/2010,25-003,CLE,@,NJN,W (+8),1,36:27:00,7,16,0.438,1,4,0.25,13,15,0.867,1,8,9,7,1,2,1,0,28,28.2,10
1147,36,1/3/2010,25-004,CLE,,CHA,L (-3),1,42:51:00,13,21,0.619,2,6,0.333,1,2,0.5,0,7,7,6,1,1,1,3,29,24.9,-2
1148,37,1/6/2010,25-007,CLE,,WAS,W (+23),1,30:50:00,7,12,0.583,1,4,0.25,8,11,0.727,2,5,7,8,1,2,1,0,23,26.1,16
1149,38,1/8/2010,25-009,CLE,@,DEN,L (-2),1,41:18:00,12,28,0.429,2,8,0.25,9,13,0.692,2,4,6,7,1,0,8,1,35,18.7,6
1150,39,1/10/2010,25-011,CLE,@,POR,W (+12),1,45:16:00,13,19,0.684,3,4,0.75,12,14,0.857,0,10,10,8,0,1,3,1,41,38,16
1151,40,1/11/2010,25-012,CLE,@,GSW,W (+3),1,41:37:00,12,23,0.522,1,4,0.25,12,14,0.857,1,7,8,11,2,4,2,1,37,37.8,12
1152,41,1/14/2010,25-015,CLE,@,UTA,L (-1),1,40:25:00,12,20,0.6,4,6,0.667,8,12,0.667,1,8,9,6,5,1,5,1,36,32.8,7
1153,42,1/16/2010,25-017,CLE,@,LAC,W (+1),1,38:54:00,12,20,0.6,3,6,0.5,5,7,0.714,2,2,4,4,2,1,5,3,32,23.3,-1
1154,43,1/19/2010,25-020,CLE,,TOR,W (+8),1,41:01:00,8,18,0.444,0,7,0,12,14,0.857,0,9,9,11,3,3,3,1,28,29.9,12
1155,44,1/21/2010,25-022,CLE,,LAL,W (+6),1,40:24:00,13,25,0.52,1,9,0.111,10,13,0.769,0,5,5,9,2,1,4,3,37,28.8,5
1156,45,1/23/2010,25-024,CLE,,OKC,W (+1),1,42:38:00,9,19,0.474,6,10,0.6,13,19,0.684,0,9,9,12,1,1,6,2,37,30.9,-1
1157,46,1/25/2010,25-026,CLE,@,MIA,W (+1),1,38:31:00,9,23,0.391,2,9,0.222,12,17,0.706,0,9,9,4,1,0,4,3,32,18.8,1
1158,47,1/27/2010,25-028,CLE,,MIN,W (+14),1,30:33:00,3,8,0.375,1,3,0.333,5,6,0.833,0,6,6,11,1,1,3,1,12,15,16
1159,48,1/29/2010,25-030,CLE,@,IND,W (+21),1,35:39:00,6,18,0.333,0,4,0,10,17,0.588,0,9,9,13,2,4,5,2,22,19.8,22
1160,49,1/31/2010,25-032,CLE,,LAC,W (+25),1,39:55:00,10,20,0.5,5,6,0.833,7,8,0.875,1,2,3,11,1,0,1,1,32,30.2,15
1161,50,2/2/2010,25-034,CLE,,MEM,W (+16),1,37:07:00,7,14,0.5,1,4,0.25,7,7,1,1,5,6,15,1,1,4,2,22,24.6,19
1162,51,2/4/2010,25-036,CLE,,MIA,W (+16),1,40:06:00,9,16,0.563,1,4,0.25,17,21,0.81,2,5,7,8,2,0,4,1,36,32.9,20
1163,52,2/6/2010,25-038,CLE,,NYK,W (+7),1,43:51:00,17,31,0.548,6,12,0.5,7,7,1,1,7,8,8,5,0,5,2,47,39.7,4
1164,53,2/9/2010,25-041,CLE,,NJN,W (+7),1,42:21:00,13,21,0.619,1,4,0.25,5,9,0.556,0,3,3,11,1,0,3,0,32,27.5,-2
1165,54,2/11/2010,25-043,CLE,,ORL,W (+9),1,45:05:00,10,21,0.476,2,6,0.333,10,12,0.833,1,7,8,13,2,0,3,2,32,30.6,16
1166,55,2/18/2010,25-050,CLE,,DEN,L (-2),1,47:00:00,15,33,0.455,1,9,0.111,12,17,0.706,1,12,13,15,2,4,3,1,43,40.1,-5
1167,56,2/19/2010,25-051,CLE,@,CHA,L (-17),1,35:30:00,6,14,0.429,2,6,0.333,8,10,0.8,1,2,3,9,4,0,2,2,22,22.6,-2
1168,57,2/21/2010,25-053,CLE,@,ORL,L (-6),1,39:23:00,12,25,0.48,1,6,0.167,8,12,0.667,0,9,9,6,2,1,5,0,33,23.3,-9
1169,58,2/23/2010,25-055,CLE,,NOH,W (+10),1,44:07:00,7,16,0.438,2,6,0.333,4,4,1,1,4,5,13,2,0,0,0,20,24.6,17
1170,59,2/25/2010,25-057,CLE,@,BOS,W (+20),1,35:57:00,11,23,0.478,3,6,0.5,11,15,0.733,1,6,7,9,0,0,2,2,36,28.7,9
1171,60,2/26/2010,25-058,CLE,@,TOR,W (+8),1,44:24:00,10,17,0.588,1,4,0.25,15,16,0.938,0,6,6,9,2,0,1,2,36,36,8
1172,61,3/1/2010,25-061,CLE,,NYK,W (+31),1,31:14:00,9,17,0.529,1,4,0.25,3,5,0.6,0,7,7,7,2,2,3,0,22,20.3,39
1173,62,3/3/2010,25-063,CLE,@,NJN,W (+19),1,40:41:00,10,18,0.556,0,4,0,6,7,0.857,2,5,7,14,3,1,3,1,26,30,18
1174,63,3/5/2010,25-065,CLE,,DET,W (+7),1,41:52:00,16,27,0.593,3,7,0.429,5,6,0.833,2,11,13,6,3,2,4,1,40,36,12
1175,,3/6/2010,25-066,CLE,@,MIL,L (-7),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
1176,,3/8/2010,25-068,CLE,,SAS,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
1177,64,3/12/2010,25-072,CLE,@,PHI,W (+5),1,42:06:00,7,18,0.389,3,10,0.3,6,12,0.5,0,6,6,10,1,3,1,2,23,20.9,2
1178,65,3/14/2010,25-074,CLE,,BOS,W (+11),1,38:52:00,9,21,0.429,1,3,0.333,11,16,0.688,3,5,8,7,2,3,2,2,30,26.7,3
1179,66,3/16/2010,25-076,CLE,@,DET,W (+12),1,43:07:00,10,22,0.455,1,3,0.333,8,11,0.727,2,10,12,12,1,1,4,0,29,26.9,13
1180,67,3/17/2010,25-077,CLE,,IND,W (+5),1,38:43:00,11,24,0.458,2,4,0.5,8,10,0.8,1,8,9,9,3,2,6,2,32,25.8,14
1181,68,3/19/2010,25-079,CLE,@,CHI,W (+7),1,37:31:00,9,21,0.429,0,3,0,11,12,0.917,1,10,11,7,2,2,5,1,29,24.1,5
1182,69,3/21/2010,25-081,CLE,,DET,W (+25),1,30:48:00,5,9,0.556,2,3,0.667,3,3,1,0,3,3,7,0,1,0,0,15,17.2,17
1183,70,3/24/2010,25-084,CLE,@,NOH,W (+13),1,40:45:00,15,22,0.682,1,5,0.2,7,8,0.875,2,4,6,9,1,0,3,2,38,34.3,9
1184,71,3/26/2010,25-086,CLE,@,SAS,L (-5),1,39:18:00,11,21,0.524,1,6,0.167,4,7,0.571,0,5,5,10,2,0,5,2,27,20.2,-5
1185,72,3/28/2010,25-088,CLE,,SAC,W (+7),1,39:05:00,13,22,0.591,3,6,0.5,5,6,0.833,1,6,7,8,3,0,3,2,34,30.7,8
1186,73,3/31/2010,25-091,CLE,,MIL,W (+3),1,39:05:00,7,17,0.412,0,1,0,9,13,0.692,1,8,9,7,1,1,4,2,23,17.2,10
1187,74,4/2/2010,25-093,CLE,,ATL,W (+5),1,38:22:00,11,20,0.55,1,3,0.333,4,7,0.571,0,13,13,6,2,0,2,1,27,23.9,11
1188,75,4/4/2010,25-095,CLE,@,BOS,L (-4),1,44:32:00,14,31,0.452,0,9,0,14,22,0.636,1,6,7,9,1,1,3,0,42,30.2,-1
1189,76,4/6/2010,25-097,CLE,,TOR,W (+12),1,35:34:00,5,13,0.385,0,2,0,9,10,0.9,0,6,6,13,0,1,4,1,19,18.7,19
1190,,4/8/2010,25-099,CLE,@,CHI,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
1191,,4/9/2010,25-100,CLE,,IND,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
1192,,4/11/2010,25-102,CLE,,ORL,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
1193,,4/14/2010,25-105,CLE,@,ATL,L (-16),Inactive,,,,,,,,,,,,,,,,,,,,,
1194,1,10/28/2008,23-303,CLE,@,BOS,L (-5),1,36:00:00,9,21,0.429,0,4,0,4,8,0.5,1,6,7,6,2,1,3,4,22,14.1,-3
1195,2,10/30/2008,23-305,CLE,,CHA,W (+17),1,30:16:00,7,15,0.467,0,2,0,8,12,0.667,2,7,9,9,0,1,5,3,22,17,10
1196,3,11/1/2008,23-307,CLE,@,NOH,L (-12),1,37:43:00,6,15,0.4,0,3,0,3,4,0.75,2,5,7,13,3,0,5,3,15,15.3,-8
1197,4,11/3/2008,23-309,CLE,@,DAL,W (+19),1,34:08:00,8,20,0.4,0,2,0,13,15,0.867,2,6,8,3,2,1,1,1,29,24,13
1198,5,11/5/2008,23-311,CLE,,CHI,W (+14),1,35:50:00,13,23,0.565,0,2,0,15,16,0.938,2,7,9,6,4,0,5,1,41,36,22
1199,6,11/7/2008,23-313,CLE,,IND,W (+4),1,39:20:00,11,24,0.458,1,6,0.167,4,7,0.571,2,7,9,8,1,4,4,2,27,21.5,-3
1200,7,11/8/2008,23-314,CLE,@,CHI,W (+9),1,39:12:00,13,29,0.448,4,7,0.571,11,13,0.846,4,9,13,4,0,0,2,1,41,31,12
1201,8,11/11/2008,23-317,CLE,,MIL,W (+6),1,42:46:00,16,24,0.667,1,4,0.25,8,10,0.8,0,5,5,6,3,0,2,2,41,35.7,11
1202,9,11/13/2008,23-319,CLE,,DEN,W (+11),1,38:02:00,10,20,0.5,0,0,,2,4,0.5,1,7,8,11,3,0,5,4,22,18.1,14
1203,10,11/15/2008,23-321,CLE,,UTA,W (+12),1,42:03:00,13,21,0.619,3,7,0.429,9,11,0.818,3,2,5,7,2,2,2,2,38,35.9,33
1204,11,11/18/2008,23-324,CLE,@,NJN,W (+24),1,35:58:00,9,20,0.45,1,4,0.25,12,17,0.706,0,8,8,4,0,1,3,3,31,20.3,17
1205,12,11/19/2008,23-325,CLE,@,DET,L (-7),1,39:30:00,8,21,0.381,0,4,0,9,10,0.9,1,5,6,6,4,0,3,1,25,20.1,-5
1206,13,11/22/2008,23-328,CLE,,ATL,W (+14),1,36:35:00,8,19,0.421,1,4,0.25,7,7,1,1,6,7,8,2,0,2,3,24,20.8,16
1207,14,11/25/2008,23-331,CLE,@,NYK,W (+18),1,30:20:00,7,14,0.5,3,7,0.429,9,11,0.818,0,4,4,1,1,1,1,0,26,20.8,17
1208,15,11/26/2008,23-332,CLE,,OKC,W (+35),1,17:08,7,12,0.583,0,1,0,0,0,,0,3,3,3,1,3,0,0,14,14.5,24
1209,16,11/28/2008,23-334,CLE,,GSW,W (+15),1,30:39:00,9,13,0.692,3,4,0.75,2,4,0.5,1,6,7,8,3,1,2,2,23,25.7,24
1210,17,11/29/2008,23-335,CLE,@,MIL,W (+12),1,41:22:00,12,27,0.444,1,5,0.2,7,10,0.7,1,6,7,5,2,1,3,3,32,21.2,7
1211,18,12/3/2008,23-339,CLE,,NYK,W (+36),1,28:09:00,5,10,0.5,1,4,0.25,10,10,1,0,5,5,6,5,1,0,0,21,27.4,30
1212,19,12/5/2008,23-341,CLE,,IND,W (+24),1,37:37:00,4,12,0.333,0,4,0,3,4,0.75,2,6,8,11,1,3,2,2,11,15,32
1213,20,12/6/2008,23-342,CLE,@,CHA,W (+20),1,27:40:00,8,17,0.471,2,4,0.5,7,8,0.875,2,3,5,4,2,2,3,3,25,20.2,27
1214,21,12/9/2008,23-345,CLE,,TOR,W (+20),1,30:24:00,11,18,0.611,2,5,0.4,7,8,0.875,0,5,5,4,3,0,2,1,31,27.3,19
1215,22,12/10/2008,23-346,CLE,@,PHI,W (+8),1,39:04:00,10,22,0.455,2,6,0.333,7,8,0.875,2,2,4,5,0,2,1,4,29,21.5,-1
1216,23,12/12/2008,23-348,CLE,,PHI,W (+16),1,36:50:00,9,21,0.429,1,4,0.25,9,12,0.75,3,4,7,7,1,3,0,2,28,26.2,13
1217,24,12/13/2008,23-349,CLE,@,ATL,L (-5),1,45:40:00,10,19,0.526,2,7,0.286,11,12,0.917,2,4,6,9,4,1,1,2,33,35.1,1
1218,25,12/17/2008,23-353,CLE,@,MIN,W (+23),1,39:38:00,14,20,0.7,2,6,0.333,2,4,0.5,0,6,6,3,2,2,0,1,32,29.7,22
1219,26,12/19/2008,23-355,CLE,@,DEN,W (+17),1,38:45:00,13,20,0.65,0,2,0,7,8,0.875,3,7,10,8,0,0,6,3,33,26.4,14
1220,27,12/21/2008,23-357,CLE,@,OKC,W (+11),1,42:46:00,14,24,0.583,2,4,0.5,1,2,0.5,2,2,4,7,3,1,3,1,31,26.6,16
1221,28,12/23/2008,23-359,CLE,,HOU,W (+9),1,38:20:00,11,23,0.478,0,3,0,5,7,0.714,1,8,9,5,3,1,7,2,27,17,14
1222,29,12/25/2008,23-361,CLE,,WAS,W (+4),1,38:13:00,6,13,0.462,0,2,0,6,10,0.6,0,5,5,6,3,1,3,1,18,15.7,-4
1223,30,12/28/2008,23-364,CLE,,MIA,W (+7),1,42:31:00,12,19,0.632,2,4,0.5,7,12,0.583,0,6,6,9,0,1,2,1,33,28.9,8
1224,31,12/30/2008,24-000,CLE,@,MIA,L (-9),1,43:29:00,12,24,0.5,3,8,0.375,11,14,0.786,0,2,2,7,0,2,5,2,38,25.9,-6
1225,32,1/2/2009,24-003,CLE,,CHI,W (+25),1,37:16:00,3,8,0.375,2,3,0.667,8,8,1,1,9,10,11,2,3,5,1,16,21.4,27
1226,33,1/4/2009,24-005,CLE,@,WAS,L (-3),1,40:46:00,11,22,0.5,3,9,0.333,5,8,0.625,0,6,6,10,1,2,7,4,30,20.4,0
1227,34,1/7/2009,24-008,CLE,,CHA,W (+30),1,30:59:00,9,16,0.563,0,1,0,3,3,1,0,4,4,4,2,2,4,1,21,16.4,23
1228,35,1/9/2009,24-010,CLE,,BOS,W (+15),1,35:49:00,13,25,0.52,3,7,0.429,9,9,1,1,6,7,6,4,3,3,2,38,34.7,20
1229,36,1/13/2009,24-014,CLE,@,MEM,W (+15),1,40:12:00,9,15,0.6,1,5,0.2,11,14,0.786,0,11,11,10,3,1,2,2,30,33.1,21
1230,37,1/15/2009,24-016,CLE,@,CHI,L (-9),1,44:19:00,8,28,0.286,1,6,0.167,11,16,0.688,3,11,14,7,1,1,8,4,28,12,2
1231,38,1/16/2009,24-017,CLE,,NOH,W (+14),1,42:59:00,12,24,0.5,0,2,0,5,6,0.833,3,11,14,7,3,1,4,3,29,25.4,19
1232,39,1/19/2009,24-020,CLE,@,LAL,L (-17),1,42:10:00,9,25,0.36,1,5,0.2,4,8,0.5,2,7,9,4,4,1,6,1,23,12.1,-11
1233,40,1/21/2009,24-022,CLE,@,POR,W (+6),1,42:02:00,14,30,0.467,3,6,0.5,3,4,0.75,0,7,7,14,1,0,2,1,34,28.7,14
1234,41,1/23/2009,24-024,CLE,@,GSW,W (+1),1,40:39:00,10,24,0.417,2,5,0.4,10,16,0.625,2,7,9,8,3,2,2,2,32,27.5,12
1235,42,1/24/2009,24-025,CLE,@,UTA,W (+5),1,41:08:00,14,27,0.519,1,6,0.167,4,6,0.667,4,10,14,9,1,0,2,1,33,29.6,16
1236,43,1/27/2009,24-028,CLE,,SAC,W (+7),1,37:31:00,5,10,0.5,0,2,0,13,15,0.867,5,10,15,11,0,3,2,1,23,31.1,6
1237,44,1/29/2009,24-030,CLE,@,ORL,L (-11),1,37:41:00,10,27,0.37,0,2,0,3,6,0.5,1,7,8,8,1,1,2,1,23,14.6,-9
1238,45,1/30/2009,24-031,CLE,,LAC,W (+17),1,37:08:00,9,17,0.529,2,4,0.5,5,6,0.833,0,7,7,6,3,1,3,2,25,22.5,32
1239,46,2/1/2009,24-033,CLE,@,DET,W (+10),1,38:50:00,12,25,0.48,3,8,0.375,6,11,0.545,4,0,4,8,1,1,5,3,33,22.2,-8
1240,47,2/3/2009,24-035,CLE,,TOR,W (+18),1,37:31:00,9,20,0.45,2,5,0.4,13,13,1,1,6,7,4,1,2,3,3,33,26.1,23
1241,48,2/4/2009,24-036,CLE,@,NYK,W (+5),1,44:03:00,17,33,0.515,2,7,0.286,16,19,0.842,0,9,9,11,0,2,3,1,52,42.9,7
1242,49,2/8/2009,24-040,CLE,,LAL,L (-10),1,40:08:00,5,20,0.25,2,8,0.25,4,8,0.5,3,5,8,12,0,0,1,1,16,13,-12
1243,50,2/10/2009,24-042,CLE,@,IND,L (-1),1,41:10:00,15,21,0.714,4,7,0.571,13,14,0.929,0,7,7,4,1,1,7,1,47,37.1,7
1244,51,2/11/2009,24-043,CLE,,PHO,W (+17),1,33:17:00,9,18,0.5,1,5,0.2,7,8,0.875,2,4,6,6,2,1,3,1,26,22.7,22
1245,52,2/18/2009,24-050,CLE,@,TOR,W (+17),1,33:12:00,9,17,0.529,0,3,0,2,2,1,1,8,9,9,1,1,5,1,20,17.4,20
1246,53,2/20/2009,24-052,CLE,@,MIL,W (+8),1,40:04:00,16,29,0.552,8,11,0.727,15,22,0.682,1,4,5,9,0,0,6,3,55,39.3,13
1247,54,2/22/2009,24-054,CLE,,DET,W (+21),1,30:34:00,6,13,0.462,0,3,0,8,10,0.8,0,5,5,9,2,1,0,0,20,23,22
1248,55,2/24/2009,24-056,CLE,,MEM,W (+15),1,29:40:00,4,10,0.4,1,2,0.5,6,8,0.75,0,5,5,8,0,1,2,1,15,14.2,13
1249,56,2/26/2009,24-058,CLE,@,HOU,L (-19),1,33:51:00,7,21,0.333,2,5,0.4,5,6,0.833,0,1,1,0,1,2,3,4,21,6.8,-14
1250,57,2/27/2009,24-059,CLE,@,SAS,W (+11),1,32:08:00,12,23,0.522,3,6,0.5,3,3,1,4,10,14,4,2,0,1,2,30,27.5,29
1251,58,3/1/2009,24-061,CLE,@,ATL,W (+1),1,43:43:00,8,20,0.4,2,7,0.286,8,14,0.571,1,5,6,11,1,2,0,3,26,23.9,4
1252,59,3/2/2009,24-062,CLE,@,MIA,W (+7),1,43:40:00,13,21,0.619,6,7,0.857,10,10,1,1,7,8,4,1,1,6,4,42,32.2,8
1253,60,3/4/2009,24-064,CLE,,MIL,W (+18),1,33:12:00,7,11,0.636,4,5,0.8,5,7,0.714,1,7,8,4,1,0,3,2,23,20.1,24
1254,61,3/6/2009,24-066,CLE,@,BOS,L (-11),1,38:17:00,5,15,0.333,2,5,0.4,9,12,0.75,0,6,6,5,1,0,4,1,21,13.2,-1
1255,62,3/7/2009,24-067,CLE,,MIA,W (+10),1,43:19:00,5,15,0.333,0,3,0,4,7,0.571,2,8,10,12,1,1,2,0,14,16.2,10
1256,63,3/10/2009,24-070,CLE,@,LAC,W (+4),1,43:42:00,10,23,0.435,0,6,0,12,16,0.75,4,9,13,11,2,2,4,2,32,30.1,7
1257,64,3/12/2009,24-072,CLE,@,PHO,W (+8),1,43:27:00,10,24,0.417,3,8,0.375,11,13,0.846,6,4,10,13,3,3,3,0,34,37,7
1258,65,3/13/2009,24-073,CLE,@,SAC,W (+3),1,46:59:00,16,30,0.533,4,11,0.364,15,17,0.882,0,4,4,9,2,3,3,2,51,43.4,6
1259,66,3/15/2009,24-075,CLE,,NYK,W (+5),1,39:52:00,9,17,0.529,0,3,0,1,3,0.333,1,7,8,10,4,3,3,1,19,22.4,-1
1260,67,3/17/2009,24-077,CLE,,ORL,W (+4),1,42:40:00,15,27,0.556,4,7,0.571,9,10,0.9,2,10,12,8,4,1,6,1,43,38,5
1261,68,3/19/2009,24-079,CLE,,POR,W (+5),1,46:47:00,10,22,0.455,0,3,0,6,11,0.545,0,11,11,10,1,2,0,4,26,23.7,-1
1262,69,3/21/2009,24-081,CLE,,ATL,W (+6),1,40:03:00,9,21,0.429,1,4,0.25,3,5,0.6,1,6,7,5,3,1,2,2,22,17,10
1263,70,3/22/2009,24-082,CLE,@,NJN,W (+8),1,39:09:00,9,17,0.529,1,4,0.25,11,15,0.733,2,9,11,8,1,0,1,0,30,29.8,14
1264,71,3/25/2009,24-085,CLE,,NJN,W (+11),1,39:06:00,7,14,0.5,1,1,1,7,7,1,1,7,8,11,1,0,1,0,22,25.5,19
